Sr No.,Spectrum,ComponentName,C,O,Al,Si,P,S,Cr,Mn,Ni,Pb,Fe,Mo,Cu,Sn,Zn,Au,K,N,Ca,V,W,Cl
1,1,Armature Bolt,2.77,0.59,0.0,0.22,0.0,0.0,1.73,0.25,0.0,0.0,94.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Armature Bolt,2.42,0.47,0.0,0.28,0.0,0.0,1.72,0.25,0.0,0.0,94.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Armature Bolt,2.77,0.77,0.0,0.36,0.0,0.0,1.67,0.29,0.0,0.0,94.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Armature Bolt,2.23,0.49,0.0,0.26,0.0,0.0,1.79,0.27,0.0,0.0,94.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,Armature Bolt,3.27,0.47,0.0,0.19,0.0,0.0,1.65,0.28,0.0,0.0,94.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Armature Bolt,2.53,0.37,0.0,0.22,0.0,0.0,1.51,0.35,0.0,0.0,95.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,Armature Bolt,1.86,0.6,0.0,0.27,0.0,0.0,1.6,0.27,0.0,0.0,95.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,Armature Bolt,2.42,0.45,0.0,0.33,0.0,0.0,1.6,0.29,0.0,0.0,94.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,Armature Bolt,2.4,0.4,0.0,0.27,0.0,0.0,1.78,0.26,0.0,0.0,94.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,Armature Bolt,2.18,0.5,0.0,0.21,0.0,0.0,1.63,0.26,0.0,0.0,95.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,Armature Bolt,2.13,0.47,0.0,0.27,0.0,0.0,1.69,0.28,0.0,0.0,95.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,Armature Bolt,2.78,0.5,0.0,0.3,0.0,0.0,1.69,0.26,0.0,0.0,94.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,Armature Bolt,2.3,0.48,0.0,0.24,0.0,0.0,1.58,0.32,0.0,0.0,95.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,Armature Bolt,2.2,0.42,0.0,0.17,0.0,0.0,1.74,0.22,0.0,0.0,95.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
